ID,Lng,Lat,CommunityID,TradeTime,DOM,Followers,Total price,Price,Square,Bed Room,Living room,Kitchen,Bathroom,楼,Building Type,Construction time,renovation condition,building structure,Ladder ratio(梯户比),Elevator,Property rights for five years（房屋满五年）,Subway,District,Community average
101084782030.0,116.475489,40.01952,1111027376244.0,2016-08-09 00:00:00,1464.0,106.0,415.0,31680.0,131.0,2.0,1.0,1.0,1.0,高 26,塔楼,2005,简装,钢混,0.217,1.0,0.0,1.0,朝阳,56021.0
101086012217.0,116.453917,39.881534,1111027381879.0,2016-07-28 00:00:00,903.0,126.0,575.0,43436.0,132.38,2.0,2.0,1.0,2.0,高 22,塔楼,2004,精装,钢混,0.667,1.0,1.0,0.0,朝阳,71539.0
101086041636.0,116.561978,39.877145,1111040862969.0,2016-12-11 00:00:00,1271.0,48.0,1030.0,52021.0,198.0,3.0,2.0,1.0,3.0,中 4,板楼,2005,简装,钢混,0.5,1.0,0.0,0.0,朝阳,48160.0
101086406841.0,116.43801,40.076114,1111043185817.0,2016-09-30 00:00:00,965.0,138.0,297.5,22202.0,134.0,3.0,1.0,1.0,1.0,底 21,塔楼,2008,其他,钢混,0.273,1.0,0.0,0.0,昌平,51238.0
101086920653.0,116.428392,39.886229,1111027381174.0,2016-08-28 00:00:00,927.0,286.0,392.0,48396.0,81.0,2.0,1.0,1.0,1.0,中 6,板楼,1960,毛坯,混合,0.333,0.0,1.0,1.0,东城,62588.0
101087277815.0,116.46628,39.991363,1111027377512.0,2016-07-22 00:00:00,861.0,57.0,275.6,52000.0,53.0,1.0,0.0,1.0,1.0,中 8,板楼,2005,简装,钢混,0.333,1.0,1.0,0.0,朝阳,67738.0
101087292623.0,116.482586,39.891991,1111027380683.0,2016-07-14 00:00:00,851.0,167.0,275.0,37672.0,73.0,2.0,1.0,1.0,1.0,高 6,板楼,1997,精装,混合,0.5,0.0,0.0,0.0,朝阳,50112.0
101087000000.0,116.453917,39.881534,1111027381879.0,2016-09-07 00:00:00,904.0,138.0,800.0,49521.0,161.55,3.0,2.0,1.0,2.0,高 22,塔楼,2004,精装,钢混,0.667,1.0,1.0,0.0,朝阳,71539.0
101087463212.0,116.555729,40.162058,1111027379605.0,2016-09-04 00:00:00,873.0,218.0,134.0,27917.0,48.0,1.0,0.0,1.0,1.0,高 10,板塔结合,2009,其他,混合,0.333,0.0,0.0,0.0,顺义,44235.0
101088000000.0,116.453086,39.898397,1111027374519.0,2016-09-05 00:00:00,865.0,134.0,380.0,55883.0,68.0,1.0,0.0,0.0,0.0,中 23,塔楼,2009,精装,钢混,0.308,1.0,1.0,1.0,东城,78590.0
101088000000.0,116.555729,40.162058,1111027379605.0,2016-08-03 00:00:00,773.0,74.0,126.0,26250.0,48.0,1.0,1.0,1.0,1.0,底 11,板塔结合,2009,简装,混合,0.333,0.0,1.0,0.0,顺义,44235.0
101088000000.0,116.399018,39.978141,1111027382251.0,2016-08-17 00:00:00,784.0,65.0,896.0,91710.0,97.7,3.0,1.0,1.0,1.0,高 6,板楼,1991,简装,混合,0.333,0.0,1.0,1.0,西城,123002.0
101088000000.0,116.296286,39.870107,1111027382679.0,2016-06-17 00:00:00,706.0,90.0,285.0,35568.0,80.13,1.0,1.0,1.0,1.0,高 24,塔楼,2001,精装,钢混,0.222,1.0,0.0,1.0,丰台,53588.0
101088000000.0,116.32922,39.892447,1111027379961.0,2016-09-20 00:00:00,800.0,76.0,360.0,60607.0,59.4,2.0,1.0,1.0,1.0,高 26,塔楼,1990,简装,钢混,0.25,1.0,0.0,1.0,丰台,59395.0
101088000000.0,116.405549,39.975629,1111027379201.0,2016-07-22 00:00:00,739.0,39.0,700.0,39115.0,178.96,4.0,1.0,1.0,1.0,低 23,塔楼,1997,简装,钢混,0.333,1.0,1.0,1.0,朝阳,53730.0
101088000000.0,116.284755,39.93453,1111027376911.0,2016-09-17 00:00:00,790.0,6.0,212.0,32981.0,64.28,1.0,0.0,1.0,1.0,中 19,塔楼,2009,简装,钢混,0.111,1.0,0.0,1.0,海淀,70141.0
101088000000.0,116.603852,39.893276,1111027375170.0,2016-06-20 00:00:00,691.0,130.0,336.0,30189.0,111.3,2.0,1.0,1.0,1.0,中 6,板楼,2008,精装,钢混,0.16699999999999998,1.0,1.0,0.0,朝阳,48859.0
101088000000.0,116.284755,39.93453,1111027376911.0,2016-08-23 00:00:00,747.0,41.0,174.6,33577.0,52.0,1.0,0.0,1.0,1.0,中 19,塔楼,2009,简装,钢混,0.111,1.0,0.0,1.0,海淀,70141.0
101088000000.0,116.507351,39.934957,1111043267862.0,2016-07-15 00:00:00,690.0,20.0,1950.0,63228.0,308.41,5.0,2.0,1.0,4.0,高 18,板楼,2011,精装,钢混,1.0,1.0,0.0,1.0,朝阳,101192.0
101088000000.0,116.448302,39.960966,1111027374893.0,2016-07-28 00:00:00,697.0,276.0,176.0,29000.0,60.69,1.0,1.0,1.0,1.0,低 25,塔楼,2008,精装,钢混,0.364,1.0,1.0,0.0,朝阳,34966.0
101088000000.0,116.432142,39.902354,1111027380930.0,2016-07-26 00:00:00,681.0,115.0,520.0,87176.0,59.65,1.0,1.0,1.0,1.0,中 12,板塔结合,2005,精装,钢混,0.5,1.0,1.0,1.0,东城,95392.0
101088000000.0,116.453712,39.940847,1111027380731.0,2016-12-04 00:00:00,789.0,84.0,1580.0,74999.0,210.67,4.0,2.0,1.0,3.0,高 6,板楼,2000,精装,钢混,0.5,1.0,1.0,0.0,朝阳,82311.0
101088000000.0,116.486595,39.917578000000006,1111027375161.0,2016-07-25 00:00:00,656.0,17.0,1150.0,52668.0,218.35,4.0,2.0,1.0,2.0,中 14,板楼,2005,精装,钢混,0.333,1.0,1.0,1.0,朝阳,84981.0
101088000000.0,116.475515,40.008231,1111027381349.0,2016-06-29 00:00:00,622.0,83.0,213.0,36417.0,58.49,1.0,0.0,1.0,0.0,中 30,板塔结合,2004,简装,钢混,0.429,1.0,0.0,1.0,朝阳,50916.0
101088000000.0,116.37301399999998,39.859478,1111027374270.0,2016-06-27 00:00:00,598.0,119.0,160.0,30189.0,53.0,1.0,1.0,1.0,1.0,高 18,塔楼,1998,简装,钢混,0.25,1.0,1.0,1.0,丰台,59797.0
101089000000.0,116.284755,39.93453,1111027376911.0,2016-10-30 00:00:00,715.0,13.0,210.0,40385.0,52.0,1.0,0.0,1.0,1.0,中 19,塔楼,2009,简装,钢混,0.111,1.0,0.0,1.0,海淀,70141.0
101089000000.0,116.450729,39.977923,1111043364345.0,2016-08-15 00:00:00,630.0,37.0,1750.0,85366.0,205.0,3.0,2.0,1.0,2.0,中 27,板楼,2010,毛坯,钢混,0.667,1.0,0.0,1.0,朝阳,109848.0
101089000000.0,116.369475,40.069842,1111027374195.0,2016-07-12 00:00:00,580.0,85.0,630.0,39378.0,159.99,3.0,2.0,1.0,2.0,中 5,板楼,2004,精装,混合,0.5,0.0,1.0,0.0,海淀,67509.0
101089000000.0,116.480923,39.900942,1111027379643.0,2016-09-20 00:00:00,640.0,31.0,845.0,33988.0,248.62,2.0,2.0,1.0,2.0,中 14,板楼,2004,精装,钢混,1.0,1.0,0.0,1.0,朝阳,79235.0
101089000000.0,116.434144,39.892211,1111027374239.0,2016-08-08 00:00:00,594.0,78.0,723.0,65407.0,110.54,3.0,1.0,1.0,1.0,高 6,板楼,1996,精装,混合,0.333,0.0,1.0,1.0,东城,85681.0
101089000000.0,116.376709,39.867222,1111027376484.0,2016-06-19 00:00:00,540.0,57.0,240.0,42165.0,56.92,2.0,1.0,1.0,1.0,低 18,塔楼,1996,简装,钢混,0.25,1.0,0.0,1.0,丰台,58741.0
101089000000.0,116.485296,39.991732,1111027377325.0,2016-09-27 00:00:00,628.0,268.0,590.0,51687.0,114.15,2.0,2.0,1.0,1.0,底 28,塔楼,2001,其他,钢混,0.375,1.0,0.0,1.0,朝阳,53538.0
101089000000.0,116.416572,40.063191,1111027375135.0,2016-09-08 00:00:00,603.0,19.0,354.5,50672.0,69.96,3.0,1.0,1.0,2.0,中 11,板塔结合,2010,其他,钢混,0.2,1.0,0.0,1.0,昌平,45854.0
101089000000.0,116.257104,39.873962,1111027380345.0,2016-09-28 00:00:00,621.0,138.0,210.0,44436.0,47.26,1.0,1.0,1.0,1.0,低 9,板塔结合,2011,简装,钢混,0.098,1.0,0.0,1.0,丰台,70205.0
101089000000.0,116.513848,39.875068,1111027377000.0,2016-07-06 00:00:00,535.0,115.0,218.0,29416.0,74.11,2.0,1.0,1.0,1.0,顶 7,板楼,1993,简装,砖混,0.25,0.0,1.0,1.0,朝阳,45332.0
101089000000.0,116.257104,39.873962,1111027380345.0,2016-08-21 00:00:00,573.0,62.0,140.0,25455.0,55.0,1.0,0.0,1.0,1.0,低 9,板塔结合,2011,精装,钢混,0.098,1.0,0.0,1.0,丰台,70205.0
101089000000.0,116.567579,40.076173,1111027378340.0,2016-08-30 00:00:00,580.0,114.0,340.0,24029.0,141.5,3.0,2.0,1.0,2.0,中 12,板塔结合,2004,精装,混合,0.25,1.0,1.0,0.0,顺义,39895.0
101089000000.0,116.493655,39.905367,1111027375357.0,2016-08-26 00:00:00,569.0,212.0,540.0,58888.0,91.7,2.0,2.0,1.0,1.0,顶 27,塔楼,2006,精装,钢混,0.429,1.0,1.0,1.0,朝阳,65499.0
101089000000.0,116.297022,39.788637,1111027376394.0,2016-06-25 00:00:00,507.0,52.0,110.0,27195.0,40.45,1.0,1.0,1.0,1.0,顶 7,板楼,2002,简装,混合,0.5,0.0,1.0,0.0,大兴,44170.0
101089000000.0,116.4388,40.054941,1111027375158.0,2016-07-28 00:00:00,516.0,76.0,340.0,64151.0,53.0,1.0,1.0,1.0,1.0,中 17,板塔结合,2011,精装,钢混,0.174,1.0,0.0,1.0,朝阳,77695.0
101089000000.0,116.190634,39.768886,1111054088145.0,2016-08-05 00:00:00,524.0,77.0,245.0,30625.0,80.0,2.0,1.0,1.0,1.0,低 9,板楼,2012,精装,钢混,0.5,1.0,0.0,1.0,房山,44647.0
101089000000.0,116.330345,39.984336,1111027373798.0,2016-08-14 00:00:00,533.0,114.0,610.0,103566.0,58.9,2.0,1.0,1.0,1.0,中 6,板楼,1989,精装,混合,0.333,0.0,0.0,1.0,海淀,114107.0
101089000000.0,116.254212,40.216336,1111027377222.0,2016-07-22 00:00:00,507.0,27.0,224.5,19026.0,118.0,2.0,2.0,1.0,2.0,顶 6,板楼,1998,简装,混合,0.5,0.0,1.0,0.0,昌平,38062.0
101089000000.0,116.60292,39.909042,1111041802183.0,2016-08-30 00:00:00,540.0,94.0,435.0,49505.0,87.87,2.0,1.0,1.0,1.0,低 18,板塔结合,2011,其他,钢混,0.667,1.0,0.0,0.0,朝阳,54019.0
101089000000.0,116.324898,39.891441,1111027379964.0,2016-09-05 00:00:00,544.0,47.0,410.0,53178.0,77.1,3.0,1.0,1.0,1.0,中 24,塔楼,1991,简装,钢混,0.25,1.0,1.0,1.0,丰台,62231.0
101089000000.0,116.232119,40.223852,1111027377917.0,2016-09-04 00:00:00,539.0,41.0,240.0,28784.0,83.38,1.0,1.0,1.0,1.0,中 15,塔楼,2009,简装,钢混,0.14300000000000002,1.0,0.0,1.0,昌平,41887.0
101089000000.0,116.683117,40.127185,1111027381881.0,2016-08-26 00:00:00,530.0,61.0,470.0,32879.0,142.95,3.0,2.0,1.0,2.0,底 5,板楼,2004,精装,混合,0.5,1.0,1.0,0.0,顺义,37937.0
101089000000.0,116.45831,39.923422,1111027379317.0,2016-08-24 00:00:00,520.0,67.0,355.0,57677.0,61.55,1.0,0.0,1.0,1.0,中 29,塔楼,2008,精装,钢混,0.231,1.0,1.0,1.0,朝阳,75090.0
101089000000.0,116.422479,40.06389,1111027375783.0,2016-07-31 00:00:00,494.0,59.0,190.0,31240.0,60.82,1.0,1.0,1.0,1.0,顶 19,塔楼,2004,简装,钢混,0.15,1.0,1.0,1.0,昌平,43211.0
